"data";"close";"open";"high";"low"
"196";"2013-10-13";127,8;126,9;127,96;126,65
"197";"2013-10-14";132,86;127,6;133,23;127,55
"198";"2013-10-15";135,4;132,6;139,99;132
"199";"2013-10-16";144,39;135,47;150;134,09
"200";"2013-10-17";137,56;144,39;147;137,21
"201";"2013-10-18";143,94;137,54;144,98;133,99
"202";"2013-10-19";153;143,49;155,25;143
"203";"2013-10-20";166,5;152,89;178,5;151,5
"204";"2013-10-21";166,89;168;168,875;162,31
"205";"2013-10-22";180,37;166,44;183;166
"206";"2013-10-23";191,75;180,5;215;179,1
"207";"2013-10-24";203,99;194,5;212,89;187
"208";"2013-10-25";193,72;204,5;210,995;155,81
"209";"2013-10-26";187,5;194;195,13;167,75
"210";"2013-10-27";179,55;186,62;190;175,21
"211";"2013-10-28";196,7;179,56;198,75;179,1
"212";"2013-10-29";196,01;196;199;192,15
"213";"2013-10-30";204,69;196,01;205;195,37
"214";"2013-10-31";198,74;203,7;206;195,05
"215";"2013-11-01";202,52;198,7;204;195,28
"216";"2013-11-02";201,754999;203,79;204;200,5
"217";"2013-11-03";204,94;202,24;205,79;201,33
"218";"2013-11-04";213,8975;204,67;219,89;203
"219";"2013-11-05";226,5049999;213,949;230,5;211
"220";"2013-11-06";242,88;227,29;250,75;225,44
"221";"2013-11-07";263,24;242,6;265;240,6
"222";"2013-11-08";291;263,5;297,79;262
"223";"2013-11-09";333,9;290,8;334,95;288,89
"224";"2013-11-10";338,22941;333,9;386;297
"225";"2013-11-11";325;339,39;340;265,11
"226";"2013-11-12";344,27;322,24;357,95;311,56
"227";"2013-11-13";354,96;347;400;340
"228";"2013-11-14";399,9;355,45;414,73;355,45
"229";"2013-11-15";413,53499;399,89;423,5;392,8
"230";"2013-11-16";412;415,16;439,94;388,011
"231";"2013-11-17";434,52;412;448,95;410
"232";"2013-11-18";492;434,53;499,99;434,53
"233";"2013-11-19";689;492,39;775;490,11
"234";"2013-11-20";537;690;909;360
"235";"2013-11-21";599,12;535,01;630;450,01
"236";"2013-11-22";730;599,12;745;589,9
"237";"2013-11-23";806,3;727,0301;839,77;682,32
"238";"2013-11-24";847,666666;815;886,876543;775
"239";"2013-11-25";815;847,5;860;745
"240";"2013-11-26";818,98;814,16;844,579;768
"241";"2013-11-27";952;813,14;960;800
"242";"2013-11-28";963;955,01;969,99;894
"243";"2013-11-29";1016,1;962,01;1050,34;945
"244";"2013-11-30";1132;1015,79;1142;999,12
"245";"2013-12-01";1119,52;1131;1171,25;1090
"246";"2013-12-02";955;1119,8;1126;780
"247";"2013-12-03";1037,07;950,2601;1059;936
"248";"2013-12-04";1055;1037,11;1089,88;1000
"249";"2013-12-05";1138,5;1055;1175;1051
"250";"2013-12-06";1023,87;1135;1141;848,42
"251";"2013-12-07";820;1029,02;1032,04;790
"252";"2013-12-08";693;815;842,23;538
"253";"2013-12-09";784,9;692,99;790,39;650
"254";"2013-12-10";899,01;786;901;767,21
"255";"2013-12-11";983;899,94;992;895
"256";"2013-12-12";879,3;982,9697;990;804,26
"257";"2013-12-13";873;879,4;893,97;838
"258";"2013-12-14";885,02;872,97;923,71;850,02
"259";"2013-12-15";850,78;885,1;888,8970413;840
"260";"2013-12-16";859,71;854,98;871,8845;805
"261";"2013-12-17";690;860,33;864;650,9088
"262";"2013-12-18";675;690;751;613
"263";"2013-12-19";520,01;675;679,038754;381,51
"264";"2013-12-20";684,99;519,74;700;491
"265";"2013-12-21";609,01;685;721;570
"266";"2013-12-22";595,03;608,77;649;568
"267";"2013-12-23";614,999;595,06;674,39;574,0123
"268";"2013-12-24";654,76;612,66;669;608,01
"269";"2013-12-25";651,83;654,76;670;627
"270";"2013-12-26";679,5;653,57;681;635
"271";"2013-12-27";757,3889;680,78;764;677
"272";"2013-12-28";720,61;748,48;763;704,0123
"273";"2013-12-29";712,2;724,75;740,01;690
"274";"2013-12-30";728,3;715,01;732;700,0123
"275";"2013-12-31";736,5;726,82;740,62618;724,73
"276";"2014-01-01";729,99;735,5;740;710,02
"277";"2014-01-02";754,22;730,24;757;730,24
"278";"2014-01-03";784,34;751,88;800;742,52
"279";"2014-01-04";807;784,12;818,99;768
"280";"2014-01-05";829;808,5;830,4;791,04
"281";"2014-01-06";905,36;829,9;939,8;825
"282";"2014-01-07";919,24;905;995;875,181
"283";"2014-01-08";781;915,7;943,15;781
"284";"2014-01-09";824,89;785,01;849;765
"285";"2014-01-10";826,2;824,89;846,35;779,99
"286";"2014-01-11";853,02;825,5;860,64;799,98
"287";"2014-01-12";896,59;850;915;848
"288";"2014-01-13";842,1;898,5;906;824,45143
"289";"2014-01-14";824,5;842,01;844,68;784
"290";"2014-01-15";816;823,17;836,99;802,3
"291";"2014-01-16";842,111;816;850,25;811,25
"292";"2014-01-17";812,48;842,101;847,68;812,48
"293";"2014-01-18";800;812,48;820,22;765,03
"294";"2014-01-19";811,22;798,99;820;794,93
"295";"2014-01-20";841,11;811,2;842;794,41
"296";"2014-01-21";827,11;842,07;844,99;815,01
"297";"2014-01-22";824,34;826,02;834,17;813,6
"298";"2014-01-23";818;824,89;826,5;803,1
"299";"2014-01-24";811,01;817,99;823;802,52
"300";"2014-01-25";778;811,01;812,7689;767,23
"301";"2014-01-26";805,4;778,13;817;774,38
"302";"2014-01-27";815;806,81;836,7318;794,64
"303";"2014-01-28";750;815;824,9999;726,5
"304";"2014-01-29";784,0001;748,123;814,5;741,214
"305";"2014-01-30";791,56;785;805;781,4417
"306";"2014-01-31";801,5;792,69;812,65489;770
"307";"2014-02-01";803,5;799,5;809,6746;793
"308";"2014-02-02";812,5211;803,58;829;801
"309";"2014-02-03";814,222;815,52;827,2;811
"310";"2014-02-04";806,01;814,222;815,2;798,5
"311";"2014-02-05";802,69;806,01;814,4;795,2
"312";"2014-02-06";778,03;800;807,48;777,85
"313";"2014-02-07";763,11;782;829;678,03
"314";"2014-02-08";702;763,99;764;620
"315";"2014-02-09";680,49;702;723,97;667
"316";"2014-02-10";689;680,49;728,89934978;666,53
"317";"2014-02-11";686,8313;686,11000001;703;200
"318";"2014-02-12";674,5;686;721,35;631,2
"319";"2014-02-13";652,05;674,5;684,9;642
"320";"2014-02-14";605,5;652,01;658,9899;603,43
"321";"2014-02-15";668;605,6;710;535
"322";"2014-02-16";651,92;668,51;670,99;633,3
"323";"2014-02-17";621;654,78;670,9999;585
"324";"2014-02-18";630;622,19;664;611
"325";"2014-02-19";627,95;630;651,3;611,304999
"326";"2014-02-20";621,75;627,95;636,85;617,89
"327";"2014-02-21";561,2;624;629;561
"328";"2014-02-22";580;561,4;588,48969696;530
"329";"2014-02-23";608,7;580,99;619;562
"330";"2014-02-24";607,15175;610,26;644,93;601
"331";"2014-02-25";535,9999;606,1111;614,89;531,1
"332";"2014-02-26";534,6;533,01;549;400
"333";"2014-02-27";584;534,69;609;526,7501
"334";"2014-02-28";583,89;586,49;601,2;568,75
"335";"2014-03-01";554,25;582,01;591,18;545
"336";"2014-03-02";568,75;552,26;577,25;540,2044
"337";"2014-03-03";565,37191;566,5;572,24;555,161
"338";"2014-03-04";680,98;566;719,25;563
"339";"2014-03-05";672;680,98;703,85;658,5
"340";"2014-03-06";669,61;672,59999999;678,9999;651,21
"341";"2014-03-07";668;669,61;676,43;648,7
"342";"2014-03-08";631,01;667;669;616,23
"343";"2014-03-09";616,8001;632,99999999;639,999;600,6
"344";"2014-03-10";638,5;616,9;654,999;610,25
"345";"2014-03-11";626,9801;638,52;648,3;606
"346";"2014-03-12";634,01;626,9801;641,9999;615,31
"347";"2014-03-13";636,2296;634,01;654;631
"348";"2014-03-14";644,18;636,10235;648;634,5001
"349";"2014-03-15";627,98;643,1;645;623,5
"350";"2014-03-16";635,45;628,89;639,8899;626,3
"351";"2014-03-17";633;635,45;638;628,5801
"352";"2014-03-18";623,8;632;632,5;619,2
"353";"2014-03-19";615,5999;623,8;623,8;600
"354";"2014-03-20";609;615,5999;622,2;605,9841
"355";"2014-03-21";586,5551;608,9841;609;584
"356";"2014-03-22";570,9999;588,8294;605,96;555,5
"357";"2014-03-23";563;570,9798;574,24;550,09
"358";"2014-03-24";558;563;571;555
"359";"2014-03-25";585,6587;557,8884;590;550,5
"360";"2014-03-26";583,9899;584,9899;586;568,55
"361";"2014-03-27";576,6;583,89;593,25;566,51
"362";"2014-03-28";474;577,9999;579,4799;465
"363";"2014-03-29";502,25;475;533,36;470
"364";"2014-03-30";492,4398;502,4996;507,99;485,45
"365";"2014-03-31";460,9999;490,01;491,9999;436,2
"366";"2014-04-01";456,9899;460,6;488;436,1
"367";"2014-04-02";479,9181;456,3;513,9;453,4
"368";"2014-04-03";437,2203;477,53;496,2;431,2
"369";"2014-04-04";447,9999;436,5301;463;415,46
"370";"2014-04-05";447,0211;447,1161;458,5899;430,2
"371";"2014-04-06";463,99;448,001;464,5;444,395
"372";"2014-04-07";458,78;463,5;465,9998;450
"373";"2014-04-08";446,58;458,6;461;445,05
"374";"2014-04-09";452,3849;445,222;458,8;445,01
"375";"2014-04-10";442,45;452,3849;455,13590891;440,0536
"376";"2014-04-11";364,2;442,4499;442,8689;357
"377";"2014-04-12";421;364,04989;433,6;340
"378";"2014-04-13";423,3;421,999;441;413,0741
"379";"2014-04-14";418;422,2001;428,2;400
"380";"2014-04-15";460;417,6;478;406,4
"381";"2014-04-16";519;460;526,995;452
"382";"2014-04-17";531,25;519,11;547;495
"383";"2014-04-18";498,10000001;531,25;535,7499;486,1
"384";"2014-04-19";480,044;499;503,9999;474,25
"385";"2014-04-20";504,999999;480,044;513,9899;473,83
"386";"2014-04-21";500,9501;504,99999;517,995;492,2
"387";"2014-04-22";495,39;501,3551;515,646;485
"388";"2014-04-23";489,2503;499,25;506;488
"389";"2014-04-24";491,78;491,69999999;496;482,88
"390";"2014-04-25";503,7;492,08;504,96;480,16
"391";"2014-04-26";464,33566;503,7;504,96;441,3
"392";"2014-04-27";460;464,33566;469,19;449,8001
"393";"2014-04-28";429,99;459,01;465,6;427,55
"394";"2014-04-29";441,38999999;429,99;450;423,11
"395";"2014-04-30";446,53;441,39;454;434
"396";"2014-05-01";449,0201;446,53;453,9899;432
"397";"2014-05-02";459,4102;449,0201;463,53;448,82
"398";"2014-05-03";452;461,11992999;461,11992999;443
"399";"2014-05-04";439,7398;451,99;451,9999;430
"400";"2014-05-05";435,0413;439,7297;441,4999;429
"401";"2014-05-06";432,389;438,58799899;444,4;425,5999
"402";"2014-05-07";429,7;431,6;435,39;419,4
"403";"2014-05-08";440,43;430;453,6;424,2487
"404";"2014-05-09";438,5;440;450,59;437,69
"405";"2014-05-10";454;438,2;456,6;438,2
"406";"2014-05-11";456,09;453,99;459,65;448,2
"407";"2014-05-12";437,97;456,11;458,4;430
"408";"2014-05-13";440;437,45;442;431,8
"409";"2014-05-14";438,81;440;440,9;434,01
"410";"2014-05-15";445;438,81;448;438,47
"411";"2014-05-16";447,58;444,03;451,4;444
"412";"2014-05-17";448,6;447,58;453;443,4
"413";"2014-05-18";449,03;448,6;450;446,83
"414";"2014-05-19";447,4;449,04;449,11;445,5
"415";"2014-05-20";447;447,6;448,5;444,1
